Repository;PathDataset;N_TestNonFlaky;N_TestFlaky;N_TestFlakyPersi;N_TF_NonRilevatiDalDetector;Lista_TF_NonRilevatiDalDetector
jackson-module-afterburner;D:\Universita\FlakyPaper\DataSet\CSV\jackson-module-afterburner.csv;0;0;2;['com.fasterxml.jackson.module.afterburner.ser.TestInclusionAnnotations.testIncludeUsingAnnotation', 'com.fasterxml.jackson.module.afterburner.ser.TestJsonFilter.testMissingFilter'];['com.fasterxml.jackson.module.afterburner.ser.TestInclusionAnnotations.testIncludeUsingAnnotation', 'com.fasterxml.jackson.module.afterburner.ser.TestJsonFilter.testMissingFilter']
jackson-module-jsonSchema;D:\Universita\FlakyPaper\DataSet\CSV\jackson-module-jsonSchema.csv;1;0;5;['com.fasterxml.jackson.module.jsonSchema.TestGenerateJsonSchema.testMultiplePropertyDependencies', 'com.fasterxml.jackson.module.jsonSchema.TestGenerateJsonSchema.testSchemaPropertyDependencies', 'com.fasterxml.jackson.module.jsonSchema.TestGenerateJsonSchema.testSchemaPropertyDependency', 'com.fasterxml.jackson.module.jsonSchema.TestGenerateJsonSchema.testSinglePropertyDependency', 'com.fasterxml.jackson.module.jsonSchema.TestUnwrapping.testUnwrapping'];['com.fasterxml.jackson.module.jsonSchema.TestGenerateJsonSchema.testMultiplePropertyDependencies', 'com.fasterxml.jackson.module.jsonSchema.TestGenerateJsonSchema.testSchemaPropertyDependencies', 'com.fasterxml.jackson.module.jsonSchema.TestGenerateJsonSchema.testSchemaPropertyDependency', 'com.fasterxml.jackson.module.jsonSchema.TestGenerateJsonSchema.testSinglePropertyDependency', 'com.fasterxml.jackson.module.jsonSchema.TestUnwrapping.testUnwrapping']
jackson-modules-base;D:\Universita\FlakyPaper\DataSet\CSV\jackson-modules-base.csv;9;0;14;['com.fasterxml.jackson.module.afterburner.deser.jdk.JDKScalarsDeserTest.testNullForPrimitivesNotAllowedMisc', 'com.fasterxml.jackson.module.afterburner.deser.TestIssue14.testIssue', 'com.fasterxml.jackson.module.afterburner.format.MapFormatShapeTest.testRoundTrip', 'com.fasterxml.jackson.module.afterburner.ser.TestInclusionAnnotations.testIncludeUsingAnnotation', 'com.fasterxml.jackson.module.afterburner.ser.TestJsonFilter.testMissingFilter', 'com.fasterxml.jackson.module.afterburner.ser.TestSimpleSerialize.testFiveMinuteDoc', 'com.fasterxml.jackson.module.afterburner.ser.TestStdSerializerOverrides.testStringSerWith', 'com.fasterxml.jackson.module.blackbird.deser.jdk.JDKScalarsDeserTest.testNullForPrimitivesNotAllowedMisc', 'com.fasterxml.jackson.module.blackbird.deser.TestIssue14.testIssue', 'com.fasterxml.jackson.module.blackbird.format.MapFormatShapeTest.testRoundTrip', 'com.fasterxml.jackson.module.blackbird.ser.TestInclusionAnnotations.testIncludeUsingAnnotation', 'com.fasterxml.jackson.module.blackbird.ser.TestJsonFilter.testMissingFilter', 'com.fasterxml.jackson.module.blackbird.ser.TestSimpleSerialize.testFiveMinuteDoc', 'com.fasterxml.jackson.module.blackbird.ser.TestStdSerializerOverrides.testStringSerWith'];['com.fasterxml.jackson.module.afterburner.deser.jdk.JDKScalarsDeserTest.testNullForPrimitivesNotAllowedMisc', 'com.fasterxml.jackson.module.afterburner.deser.TestIssue14.testIssue', 'com.fasterxml.jackson.module.afterburner.format.MapFormatShapeTest.testRoundTrip', 'com.fasterxml.jackson.module.afterburner.ser.TestInclusionAnnotations.testIncludeUsingAnnotation', 'com.fasterxml.jackson.module.afterburner.ser.TestJsonFilter.testMissingFilter', 'com.fasterxml.jackson.module.afterburner.ser.TestSimpleSerialize.testFiveMinuteDoc', 'com.fasterxml.jackson.module.afterburner.ser.TestStdSerializerOverrides.testStringSerWith', 'com.fasterxml.jackson.module.blackbird.deser.jdk.JDKScalarsDeserTest.testNullForPrimitivesNotAllowedMisc', 'com.fasterxml.jackson.module.blackbird.deser.TestIssue14.testIssue', 'com.fasterxml.jackson.module.blackbird.format.MapFormatShapeTest.testRoundTrip', 'com.fasterxml.jackson.module.blackbird.ser.TestInclusionAnnotations.testIncludeUsingAnnotation', 'com.fasterxml.jackson.module.blackbird.ser.TestJsonFilter.testMissingFilter', 'com.fasterxml.jackson.module.blackbird.ser.TestSimpleSerialize.testFiveMinuteDoc', 'com.fasterxml.jackson.module.blackbird.ser.TestStdSerializerOverrides.testStringSerWith']
jackson-modules-base(34b0362b7d8d6f42f7bf954f0bc043d368e8f0eb);D:\Universita\FlakyPaper\DataSet\CSV\jackson-modules-base(34b0362b7d8d6f42f7bf954f0bc043d368e8f0eb).csv;9;0;3;['com.fasterxml.jackson.module.jaxb.id.TestXmlID2.testIdWithJacksonRules', 'com.fasterxml.jackson.module.jaxb.id.TestXmlID2.testIdWithJaxbRules', 'com.fasterxml.jackson.module.jaxb.introspect.TestPropertyVisibility.testNoneAccessWithXmlElements'];['com.fasterxml.jackson.module.jaxb.id.TestXmlID2.testIdWithJacksonRules', 'com.fasterxml.jackson.module.jaxb.id.TestXmlID2.testIdWithJaxbRules', 'com.fasterxml.jackson.module.jaxb.introspect.TestPropertyVisibility.testNoneAccessWithXmlElements']
java-classmate;D:\Universita\FlakyPaper\DataSet\CSV\java-classmate.csv;183;0;2;[];[]
yawp;D:\Universita\FlakyPaper\DataSet\CSV\yawp.csv;272;0;1;[];[]
hsac-fitnesse-fixtures;D:\Universita\FlakyPaper\DataSet\CSV\hsac-fitnesse-fixtures.csv;234;7;5;[];[]
luwak;D:\Universita\FlakyPaper\DataSet\CSV\luwak.csv;100;0;2;['uk.co.flax.luwak.matchers.TestParallelMatcher.testParallelSlowLog', 'uk.co.flax.luwak.matchers.TestPartitionMatcher.testParallelSlowLog'];['uk.co.flax.luwak.matchers.TestParallelMatcher.testParallelSlowLog', 'uk.co.flax.luwak.matchers.TestPartitionMatcher.testParallelSlowLog']
fluent-logger-java;D:\Universita\FlakyPaper\DataSet\CSV\fluent-logger-java.csv;27;7;0;[];[]
redpipe;D:\Universita\FlakyPaper\DataSet\CSV\redpipe.csv;16;0;5;[];[]
cp-ddd-framework;D:\Universita\FlakyPaper\DataSet\CSV\cp-ddd-framework.csv;38;1;1;[];[]
GoodData-CL;D:\Universita\FlakyPaper\DataSet\CSV\GoodData-CL.csv;18;1;0;[];[]
